TE,NP,NU
0120400000,,БАХЧИСАРАЙСЬКИЙ РАЙОН/М.БАХЧИСАРАЙ
0120410000,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ БАХЧИСАРАЙСЬКОГО Р-НУ
0120410100,М,БАХЧИСАРАЙ
0120445000,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ БАХЧИСАРАЙСЬКІЙ МІСЬКРАДІ"
0120445100,Т,НАУЧНИЙ
0120455000,,СЕЛИЩА МІСЬКОГО ТИПУ БАХЧИСАРАЙСЬКОГО Р-НУ
0120455300,Т,КУЙБИШЕВЕ
0120455301,С,ВЕЛИКЕ САДОВЕ
0120455302,С,ВИСОКЕ
0120455303,С,МАЛЕ САДОВЕ
0120455304,С,НОВОУЛЬЯНІВКА
0120455305,С,ТАНКОВЕ
0120455600,Т,ПОШТОВЕ
0120455601,С,ЗАВІТНЕ
0120455602,С,ЗУБАКІНЕ
0120455603,С,КАЗАНКИ
0120455604,С,МАЛИНІВКА
0120455605,С,НОВОВАСИЛІВКА
0120455606,С,НОВОПАВЛІВКА
0120455607,С,ПРИЯТНЕ СВІДАННЯ
0120455608,С,РОСТУЧЕ
0120455609,С,САМОХВАЛОВЕ
0120455610,С,СЕВАСТЯНІВКА
0120455611,Щ,СТАЛЬНЕ
0120455612,С,ТОПОЛІ
0120480000,,СІЛЬРАДИ БАХЧИСАРАЙСЬКОГО Р-НУ
0120480400,,АРОМАТНЕВСЬКА/С.АРОМАТНЕ
0120480401,С,АРОМАТНЕ
0120480402,С,ВІКТОРІВКА
0120480403,С,МАЛОВИДНЕ
0120480404,С,РЄПІНЕ
0120480405,С,РОЗОВЕ
0120480800,,ВЕРХОРІЧЕНСЬКА/С.ВЕРХОРІЧЧЯ
0120480801,С,ВЕРХОРІЧЧЯ
0120480802,С,БАШТАНІВКА
0120480803,С,КУДРИНЕ
0120480804,С,МАШИНЕ
0120480806,С,ПЕРЕДУЩЕЛЬНЕ
0120480807,С,СИНАПНЕ
0120481300,,ВІЛІНСЬКА/С.ВІЛІНЕ
0120481301,С,ВІЛІНЕ
0120481302,С,РОЗСАДНЕ
0120481900,,ГОЛУБИНСЬКА/С.ГОЛУБИНКА
0120481901,С,ГОЛУБИНКА
0120481902,С,АРОМАТ
0120481903,С,БАГАТА УЩЕЛИНА
0120481904,С,НИЖНЯ ГОЛУБИНКА
0120481905,С,НОВОПІЛЛЯ
0120481906,С,ПОЛЯНА
0120481907,С,ПУТИЛІВКА
0120481908,С,СОКОЛИНЕ
0120481909,С,СОНЯЧНОСІЛЛЯ
0120482200,,ДОЛИННЕНСЬКА/С.ДОЛИННЕ
0120482201,С,ДОЛИННЕ
0120482202,С,НОВЕНЬКЕ
0120482203,С,ФУРМАНОВКА
0120482500,,ЗАЛІЗНИЧНЕНСЬКА/С.ЗАЛІЗНИЧНЕ
0120482501,С,ЗАЛІЗНИЧНЕ
0120482502,С,БІЛОКАМ'ЯНЕ
0120482503,С,ДАЧНЕ
0120482504,С,МОСТОВЕ
0120482505,С,РІЧНЕ
0120482506,Щ,СИРЕНЬ
0120482507,С,ТУРГЕНЄВКА
0120482900,,ЗЕЛЕНІВСЬКА/С.ЗЕЛЕНЕ
0120482901,С,ЗЕЛЕНЕ
0120482902,С,БОГАТИР
0120482903,С,МНОГОРІЧЧЯ
0120482904,С,НАГІРНЕ
0120482905,С,ПЛОТИННЕ
0120482906,С,ЩАСЛИВЕ
0120483600,,КАШТАНІВСЬКА/С.КАШТАНИ
0120483601,С,КАШТАНИ
0120483602,С,ВІДРАДНЕ
0120483603,С,КОЧЕРГІНЕ
0120483604,С,ШЕВЧЕНКОВЕ
0120483900,,КРАСНОМАЦЬКА/С.КРАСНИЙ МАК
0120483901,С,КРАСНИЙ МАК
0120483902,С,ЗАЛІСНЕ
0120483903,С,ХОЛМІВКА
0120483905,С,ХОДЖА САЛА
0120484400,,ПІЩАНІВСЬКА/С.ПІЩАНЕ
0120484401,С,ПІЩАНЕ
0120484402,С,БЕРЕГОВЕ
0120484600,,ПЛОДІВСЬКА/С.ПЛОДОВЕ
0120484601,С,ПЛОДОВЕ
0120484602,С,БРЯНСЬКЕ
0120484603,С,ГІРКА
0120484604,С,ДІБРІВКА
0120484605,С,ДОРОЖНЄ
0120485000,,СКАЛИСТІВСЬКА/С.СКАЛИСТЕ
0120485001,С,СКАЛИСТЕ
0120485002,С,ГЛИБОКИЙ ЯР
0120485003,С,ПРОХЛАДНЕ
0120485004,С,ТРУДОЛЮБІВКА
0120485500,,ТАБАЧНЕНСЬКА/С.ТАБАЧНЕ
0120485501,С,ТАБАЧНЕ
0120486200,,ТІНИСТІВСЬКА/С.ТІНИСТЕ
0120486201,С,ТІНИСТЕ
0120486202,С,АЙВОВЕ
0120486203,С,КРАСНА ЗОРЯ
0120486204,С,НЕКРАСОВКА
0120486205,С,СУВОРОВЕ
0120488400,,УГЛІВСЬКА/С.УГЛОВЕ
0120488401,С,УГЛОВЕ
0120700000,,БІЛОГІРСЬКИЙ РАЙОН/М.БІЛОГІРСЬК
0120710000,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ БІЛОГІРСЬКОГО Р-НУ
0120710100,М,БІЛОГІРСЬК
0120755000,,СЕЛИЩА МІСЬКОГО ТИПУ БІЛОГІРСЬКОГО Р-НУ
0120755300,Т,ЗУЯ
0120755301,С,БАЛАНОВЕ
0120755302,С,БАРАБАНОВЕ
0120755303,С,ВЕРХНІ ОРІШНИКИ
0120755305,С,ВОЛОДИМИРІВКА
0120755307,С,ЛИТВИНЕНКОВЕ
0120755308,С,НИЖНІ ОРІШНИКИ
0120755309,С,ПЕТРОВЕ
0120755310,С,УКРАЇНКА
0120780000,,СІЛЬРАДИ БІЛОГІРСЬКОГО Р-НУ
0120780400,,АРОМАТНІВСЬКА/С.АРОМАТНЕ
0120780401,С,АРОМАТНЕ
0120780402,С,КРАСНОГІРСЬКЕ
0120780403,С,КУРОРТНЕ
0120780800,,БАГАТІВСЬКА/С.БАГАТЕ
0120780801,С,БАГАТЕ
0120780802,С,ГОРЛИНКА
0120780803,С,КРАСНА СЛОБОДА
0120780804,С,МЕЛЕХОВЕ
0120780805,С,ПОВОРОТНЕ
0120780806,С,РУСЬКЕ
0120780807,С,ЧЕРЕМИСІВКА
0120781300,,ВАСИЛІВСЬКА/С.ВАСИЛІВКА
0120781301,С,ВАСИЛІВКА
0120781303,С,МАЛИНІВКА
0120781304,С,НЕКРАСОВЕ
0120781305,С,ПАВЛІВКА
0120781306,С,ПРОЛОМ
0120781307,С,СЄВЕРНЕ
0120781900,,ВИШЕНСЬКА/С.ВИШЕННЕ
0120781901,С,ВИШЕННЕ
0120781902,С,БІЛА СКЕЛЯ
0120781903,С,МИРОНІВКА
0120782500,,ЗЕЛЕНОГІРСЬКА/С.ЗЕЛЕНОГІРСЬКЕ
0120782501,С,ЗЕЛЕНОГІРСЬКЕ
0120782502,С,БАЛКИ
0120782503,С,МІЖГІР'Я
0120782505,С,НОВОГРИГОРІВКА
0120782506,С,НОВОКЛЕНОВЕ
0120782507,С,ОВРАЖКИ
0120782508,С,ОЛЕКСАНДРІВКА
0120782509,С,ПАСІЧНЕ
0120782510,С,ПЧОЛИНЕ
0120782511,С,ЯКОВЛІВКА
0120782700,,ЗЕМЛЯНИЧНЕНСЬКА/С.ЗЕМЛЯНИЧНЕ
0120782701,С,ЗЕМЛЯНИЧНЕ
0120782702,С,ОЛЕНІВКА
0120782703,С,ОПИТНЕ
0120782704,С,РАДІСНЕ
0120782705,С,РОДНИКИ
0120782706,С,СИНЬОКАМ'ЯНКА
0120782707,С,УЧЕБНЕ
0120782900,,ЗИБИНСЬКА/С.ЗИБИНИ
0120782901,С,ЗИБИНИ
0120782902,С,МЕЛЬНИКИ
0120783400,,КРИНИЧНЕНСЬКА/С.КРИНИЧНЕ
0120783401,С,КРИНИЧНЕ
0120783402,С,АЛЕКСЄЄВКА
0120783404,С,ГОЛОВАНІВКА
0120783405,С,КАРАСІВКА
0120783406,С,КИРПИЧНЕ
0120783407,С,КРАСНОСЕЛІВКА
0120783409,С,ЯБЛУЧНЕ
0120783600,,КРИМСЬКОРОЗІВСЬКА/С.КРИМСЬКА РОЗА
0120783601,С,КРИМСЬКА РОЗА
0120783603,С,ВИШНЕВЕ
0120783800,,КУРСЬКА/С.КУРСЬКЕ
0120783801,С,КУРСЬКЕ
0120783802,С,ТОПОЛІВКА
0120784200,,МЕЛЬНИЧНА/С.МЕЛЬНИЧНЕ
0120784201,С,МЕЛЬНИЧНЕ
0120784202,С,УДАРНЕ
0120784600,,МІЧУРІНСЬКА/С.МІЧУРІНСЬКЕ
0120784601,С,МІЧУРІНСЬКЕ
0120784602,С,ЛІЧЕБНЕ
0120785000,,МУРОМСЬКА/С.МУРОМСЬКЕ
0120785001,С,МУРОМСЬКЕ
0120785002,С,ДИВНЕ
0120785003,С,КРИВЦОВЕ
0120785005,С,СІННЕ
0120785006,С,ХЛІБНЕ
0120785800,,НОВОЖИЛІВСЬКА/С.НОВОЖИЛІВКА
0120785801,С,НОВОЖИЛІВКА
0120785802,С,АННІВКА
0120785803,С,НОВООЛЕКСАНДРІВКА
0120785804,С,ТУРГЕНЄВЕ
0120786300,,РУСАКІВСЬКА/С.РУСАКІВКА
0120786301,С,РУСАКІВКА
0120786302,С,ЛУГОВЕ
0120788400,,ЦВІТОЧНЕНСЬКА/С.ЦВІТОЧНЕ
0120788401,С,ЦВІТОЧНЕ
0120788402,С,ДОЛИНІВКА
0120788800,,ЧОРНОПІЛЬСЬКА/С.ЧОРНОПІЛЛЯ
0120788801,С,ЧОРНОПІЛЛЯ
0120788802,С,ДОЗОРНЕ
0120788803,С,КИЗИЛІВКА
0120788804,С,УЛЬЯНОВКА
0121100000,,ДЖАНКОЙСЬКИЙ РАЙОН/М.ДЖАНКОЙ
0121155000,,СЕЛИЩА МІСЬКОГО ТИПУ ДЖАНКОЙСЬКОГО Р-НУ
0121155200,Т,АЗОВСЬКЕ
0121155400,Т,ВІЛЬНЕ
0121180000,,СІЛЬРАДИ ДЖАНКОЙСЬКОГО Р-НУ
0121180600,,ЄРМАКІВСЬКА/С.ЄРМАКОВЕ
0121180601,С,ЄРМАКОВЕ
0121180602,С,ВІТВИСТЕ
0121180603,С,КОПАНІ
0121180604,С,ОСТРОВСЬКЕ
0121180605,С,ПРИДОРОЖНЄ
0121180606,С,СОЛОНЕ ОЗЕРО
0121180607,С,СТОВПОВЕ
0121180800,,ЗАВІТ-ЛЕНІНСЬКА/С.ЗАВІТ-ЛЕНІНСЬКИЙ
0121180801,С,ЗАВІТ-ЛЕНІНСЬКИЙ
0121180802,С,ЗЕЛЕНИЙ ЯР
0121180803,С,МАРТИНІВКА
0121180804,С,МІЛКОВОДНЕ
0121180805,С,ПУШКІНЕ
0121180806,С,СОЛОНЦЕВЕ
0121181300,,ЗАРІЧНЕНСЬКА/С.ЗАРІЧНЕ
0121181301,С,ЗАРІЧНЕ
0121181302,С,АРМІЙСЬКЕ
0121181303,С,БОЛОТНЕ
0121181305,Щ,МИТЮРИНЕ
0121181306,С,НИЗИННЕ
0121181307,С,ПЕРЕПІЛКИНЕ
0121181308,С,СУМІЖНЕ
0121181500,,ІЗУМРУДНІВСЬКА/С.ІЗУМРУДНЕ
0121181501,С,ІЗУМРУДНЕ
0121181502,С,ДМИТРІВКА
0121181503,С,КАЛИНІВКА
0121181504,С,МІЧУРІНІВКА
0121181505,С,НОВОСТЕПОВЕ
0121181506,С,ОВОЧЕВЕ
0121181700,,КІНДРАТІВСЬКА/С.КІНДРАТОВЕ
0121181701,С,КІНДРАТОВЕ
0121181702,Щ,ДОРОЖНЄ
0121181703,С,РУБИНІВКА
0121181704,С,СОВЄТСЬКЕ
0121181800,,КРИМКІВСЬКА/С.КРИМКА
0121181801,С,КРИМКА
0121181900,,ЛОБАНІВСЬКА/С.ЛОБАНОВЕ
0121181901,С,ЛОБАНОВЕ
0121181903,С,ЖИЛИНЕ
0121181904,С,МАР'ЇНЕ
0121181905,С,ОРДЕНОНОСНЕ
0121181906,Щ,ЯСНЕ
0121182300,,ЛУГАНСЬКА/С.ЛУГАНСЬКЕ
0121182301,С,ЛУГАНСЬКЕ
0121182302,С,КОВИЛЬНЕ
0121182303,С,ПРОБУДЖЕННЯ
0121182304,С,ТУТОВЕ
0121182305,С,УДАРНЕ
0121182500,,МАЙСЬКА/С.МАЙСЬКЕ
0121182501,С,МАЙСЬКЕ
0121182502,С,БЛИЖНЄ
0121182503,С,ЛАРИНЕ
0121182505,С,ОКТЯБР
0121182506,С,ПОЛЬОВЕ
0121182900,,МАСЛІВСЬКА/С.МАСЛОВЕ
0121182901,С,МАСЛОВЕ
0121182902,С,КОМСОМОЛЬСЬКЕ
0121182903,С,СУБОТНИК
0121183400,,МЕДВЕДІВСЬКА/С.МЕДВЕДІВКА
0121183401,С,МЕДВЕДІВКА
0121183402,С,ПЕРЕДМІСТНЕ
0121183403,С,ТУРГЕНЄВЕ
0121183600,,МИРНІВСЬКА/С.МИРНІВКА
0121183601,С,МИРНІВКА
0121183602,С,ДНІПРОВКА
0121183603,С,КОСТЯНТИНІВКА
0121183604,С,РИСАКОВЕ
0121183605,С,ТИМОФІЇВКА
0121183800,,НОВОКРИМСЬКА/С.НОВОКРИМСЬКЕ
0121183801,С,НОВОКРИМСЬКЕ
0121183802,С,ІСТОЧНЕ
0121183803,С,ПАВЛІВКА
0121184000,,ПАХАРІВСЬКА/С.ПАХАРІВКА
0121184001,С,ПАХАРІВКА
0121184002,С,ВИПАСНЕ
0121184100,,ПОБЄДНЕНСЬКА/С.ПОБЄДНЕ
0121184101,С,ПОБЄДНЕ
0121184102,С,НОВЕ ЖИТТЯ
0121184103,С,ТАРАСІВКА
0121184200,,ПРОСТОРНЕНСЬКА/С.ПРОСТОРНЕ
0121184201,С,ПРОСТОРНЕ
0121184202,С,АНТОНІВКА
0121184203,С,АПРЕЛІВКА
0121184205,С,БОРОДІНО
0121184207,С,НИЖНІ ОТРОЖКИ
0121184208,С,СЛОВ'ЯНСЬКЕ
0121184209,С,СТЕФАНІВКА
0121185500,,РОЗКІШНЕНСЬКА/С.РОЗКІШНЕ
0121185501,С,РОЗКІШНЕ
0121185503,С,ЗЕРНОВЕ
0121185600,,РОЩИНСЬКА/С.РОЩИНЕ
0121185601,С,РОЩИНЕ
0121185602,С,БЛИЖНЬОГОРОДСЬКЕ
0121185603,С,КРАСНОДОЛЬНЕ
0121185604,С,ОЗЕРНЕ
0121185605,С,СЄРНОВОДСЬКЕ
0121185800,,СВІТЛІВСЬКА/С.СВІТЛЕ
0121185801,С,СВІТЛЕ
0121185805,С,БЛАГОДАТНЕ
0121186000,,СТАЛЬНЕНСЬКА/С.СТАЛЬНЕ
0121186001,С,СТАЛЬНЕ
0121186002,С,МНОГОВОДНЕ
0121186003,С,НОВОКОСТЯНТИНІВКА
0121186004,С,НОВОПАВЛІВКА
0121186005,С,НОВОФЕДОРІВКА
0121186006,С,ОЗЕРКИ
0121186007,С,ПРОЗРАЧНЕ
0121186008,С,РІДНЕ
0121186200,,ТАБАЧНЕНСЬКА/С.ТАБАЧНЕ
0121186201,С,ТАБАЧНЕ
0121186203,С,НОВОСІЛЬЦЕВЕ
0121186207,С,ФЕДОРІВКА
0121186209,С,ХЛІБНЕ
0121187200,,ЦІЛИННА/С.ЦІЛИННЕ
0121187201,С,ЦІЛИННЕ
0121187202,С,КОЛОСКИ
0121187203,С,ТОМАШІВКА
0121187500,,ЧАЙКИНСЬКА/С.ЧАЙКИНЕ
0121187501,С,ЧАЙКИНЕ
0121187503,С,МИСОВЕ
0121188200,,ЯРКІВСЬКА/С.ЯРКЕ
0121188201,С,ЯРКЕ
0121188204,С,ЯСТРУБЦІ
0121188400,,ЯРКОПОЛЕНСЬКА/С.ЯРКЕ ПОЛЕ
0121188401,С,ЯРКЕ ПОЛЕ
0121188402,С,АРБУЗІВКА
0121188403,С,ВЕСЕЛЕ
0121188404,С,ВІДРАДНЕ
0121188406,Щ,ДІБРІВКА
0121188407,С,НАХІДКА
0121188408,С,СЛОВ'ЯНКА
0121188409,С,ТІМІРЯЗЄВЕ
0121188600,,ЯСНОПОЛЯНСЬКА/С.ЯСНОПОЛЯНСЬКЕ
0121188601,С,ЯСНОПОЛЯНСЬКЕ
0121188602,Щ,ВОЛОДИНЕ
0121188603,С,РЮМШИНЕ
0121600000,,КІРОВСЬКИЙ РАЙОН/СМТ КІРОВСЬКЕ
0121610000,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ КІРОВСЬКОГО Р-НУ
0121610400,М,СТАРИЙ КРИМ
0121655000,,СЕЛИЩА МІСЬКОГО ТИПУ КІРОВСЬКОГО Р-НУ
0121655100,Т,КІРОВСЬКЕ
0121680000,,СІЛЬРАДИ КІРОВСЬКОГО Р-НУ
0121680100,,АБРИКОСІВСЬКА/С.АБРИКОСІВКА
0121680101,С,АБРИКОСІВКА
0121680102,С,БАБЕНКОВЕ
0121680103,С,КРИНИЧКИ
0121680104,С,МАТРОСІВКА
0121680800,,ВЛАДИСЛАВІВСЬКА/С.ВЛАДИСЛАВІВКА
0121680801,С,ВЛАДИСЛАВІВКА
0121680802,Щ,ВУЗЛОВЕ
0121681800,,ЖУРАВСЬКА/С.ЖУРАВКИ
0121681801,С,ЖУРАВКИ
0121681802,С,ВИДНЕ
0121681803,С,МАКІВСЬКЕ
0121681804,С,НОВОПОКРОВКА
0121681805,С,ТУТІВКА
0121682200,,ЗОЛОТОПОЛЕНСЬКА/С.ЗОЛОТЕ ПОЛЕ
0121682201,С,ЗОЛОТЕ ПОЛЕ
0121682202,С,ВІДРОДЖЕННЯ
0121682600,,ЛЬГОВСЬКА/С.ЛЬГОВСЬКЕ
0121682601,С,ЛЬГОВСЬКЕ
0121682602,С,ДОБРОЛЮБОВКА
0121682603,С,ДОЛИННЕ
0121682604,С,ПРУДИ
0121682800,,ПАРТИЗАНСЬКА/С.ПАРТИЗАНИ
0121682801,С,ПАРТИЗАНИ
0121682802,С,СПАСІВКА
0121683000,,ПЕРВОМАЙСЬКА/С.ПЕРВОМАЙСЬКЕ
0121683001,С,ПЕРВОМАЙСЬКЕ
0121683002,С,ВІДВАЖНЕ
0121683003,С,ЖЕМЧУЖИНА КРИМУ
0121683004,С,ІЗОБІЛЬНЕ
0121683005,С,ІЗЮМІВКА
0121683006,С,КЛЮЧОВЕ
0121683007,С,САДОВЕ
0121683400,,ПРИВІТНЕНСЬКА/С.ПРИВІТНЕ
0121683401,С,ПРИВІТНЕ
0121683402,С,АЙВАЗОВСЬКЕ
0121683900,,СИНИЦИНСЬКА/С.СИНИЦИНЕ
0121683901,С,СИНИЦИНЕ
0121683902,С,ВАСИЛЬКОВЕ
0121683903,С,КРАСНІВКА
0121684600,,ТОКАРЄВСЬКА/С.ТОКАРЄВЕ
0121684601,С,ТОКАРЄВЕ
0121684605,С,ШУБИНЕ
0121686100,,ЯРКОПОЛЕНСЬКА/С.ЯРКЕ ПОЛЕ
0121686101,С,ЯРКЕ ПОЛЕ
0121686103,С,КРАСНОСІЛЬСЬКЕ
0121686105,С,НОВОФЕДОРІВКА
0121686107,С,ОРІХІВКА
0121686109,С,СОФІЇВКА
0121686111,С,ТРУДОЛЮБІВКА
0122000000,,КРАСНОГВАРДІЙСЬКИЙ РАЙОН/СМТ КРАСНОГВАРДІЙСЬКЕ
0122055000,,СЕЛИЩА МІСЬКОГО ТИПУ КРАСНОГВАРДІЙСЬКОГО Р-НУ
0122055100,Т,КРАСНОГВАРДІЙСЬКЕ
0122055101,Щ,ВИДНЕ
0122055400,Т,ОКТЯБРСЬКЕ
0122080000,,СІЛЬРАДИ КРАСНОГВАРДІЙСЬКОГО Р-НУ
0122080300,,ОЛЕКСАНДРІВСЬКА/С.ОЛЕКСАНДРІВКА
0122080301,С,ОЛЕКСАНДРІВКА
0122080302,С,КРАСНОДАРКА
0122080303,С,ТИМАШІВКА
