"TE","NP","NU","NR"
"0111500000","М","АРМЯНСЬК","АРМЯНСК"
"0111590000",,"СІЛЬРАДИ, ПІДПОРЯДКОВАНІ АРМЯНСЬКІЙ МІСЬКРАДІ","СЕЛЬСОВЕТЫ, ПОДЧИНЕННЫЕ АРМЯНСКОМУ ГОРСОВЕТУ"
"0111590100",,"СУВОРОВСЬКА/С.СУВОРОВЕ","СУВОРОВСКИЙ/С.СУВОРОВО"
"0111590101","С","СУВОРОВЕ","СУВОРОВО"
"0111590102","С","ВОЛОШИНЕ","ВОЛОШИНО"
"0111590103","С","ПЕРЕКОП","ПЕРЕКОП"
"0111600000","М","ФЕОДОСІЯ","ФЕОДОСИЯ"
"0111645000",,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ФЕОДОСІЙСЬКІЙ МІСЬКРАДІ","ПОСЕЛКИ ГОРОДСКОГО ТИПА, ПОДЧИНЕННЫЕ ФЕОДОСИЙСКОМУ ГОРСОВЕТУ"
"0111645200","Т","КУРОРТНЕ","КУРОРТНОЕ"
"0111645400","Т","ОРДЖОНІКІДЗЕ","ОРДЖОНИКИДЗЕ"
"0111645700","Т","КОКТЕБЕЛЬ","КОКТЕБЕЛЬ"
"0111645701","С","НАНІКОВЕ","НАНИКОВО"
"0111646000","Т","ПРИМОРСЬКИЙ","ПРИМОРСКИЙ"
"0111646500","Т","ЩЕБЕТОВКА","ЩЕБЕТОВКА"
"0111646501","С","КРАСНОКАМ'ЯНКА","КРАСНОКАМЕНКА"
"0111690000",,"СІЛЬРАДИ, ПІДПОРЯДКОВАНІ ФЕОДОСІЙСЬКІЙ МІСЬКРАДІ","СЕЛЬСОВЕТЫ, ПОДЧИНЕННЫЕ ФЕОДОСИЙСКОМУ ГОРСОВЕТУ"
"0111690300",,"БЕРЕГОВА/С.БЕРЕГОВЕ","БЕРЕГОВОЙ/С.БЕРЕГОВОЕ"
"0111690301","С","БЕРЕГОВЕ","БЕРЕГОВОЕ"
"0111690303","С","СТЕПОВЕ","СТЕПНОЕ"
"0111692900",,"НАСИПНІВСЬКА/С.НАСИПНЕ","НАСЫПНОВСКИЙ/С.НАСЫПНОЕ"
"0111692901","С","НАСИПНЕ","НАСЫПНОЕ"
"0111692903","С","БЛИЖНЄ","БЛИЖНЕЕ"
"0111692905","С","ВИНОГРАДНЕ","ВИНОГРАДНОЕ"
"0111692907","С","ПІДГІРНЕ","ПОДГОРНОЕ"
"0111692909","С","ПІОНЕРСЬКЕ","ПИОНЕРСКОЕ"
"0111692911","С","СОНЯЧНЕ","СОЛНЕЧНОЕ"
"0111692913","С","ЮЖНЕ","ЮЖНОЕ"
"0111700000","М","СУДАК","СУДАК"
"0111745000",,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ СУДАЦЬКІЙ МІСЬКРАДІ","ПОСЕЛКИ ГОРОДСКОГО ТИПА, ПОДЧИНЕННЫЕ СУДАКСКОМУ ГОРСОВЕТУ"
"0111745200","Т","НОВИЙ СВІТ","НОВЫЙ СВЕТ"
"0111790000",,"СІЛЬРАДИ, ПІДПОРЯДКОВАНІ СУДАЦЬКІЙ МІСЬКРАДІ","СЕЛЬСОВЕТЫ, ПОДЧИНЕННЫЕ СУДАКСКОМУ ГОРСОВЕТУ"
"0111790200",,"ВЕСЕЛІВСЬКА/С.ВЕСЕЛЕ","ВЕСЕЛОВСКИЙ/С.ВЕСЕЛОЕ"
"0111790201","С","ВЕСЕЛЕ","ВЕСЕЛОЕ"
"0111790400",,"ГРУШІВСЬКА/С.ГРУШІВКА","ГРУШЕВСКИЙ/С.ГРУШЕВКА"
"0111790401","С","ГРУШІВКА","ГРУШЕВКА"
"0111790402","С","ПЕРЕВАЛІВКА","ПЕРЕВАЛОВКА"
"0111790403","С","ХОЛОДІВКА","ХОЛОДОВКА"
"0111790700",,"ДАЧНІВСЬКА/С.ДАЧНЕ","ДАЧНОВСКИЙ/С.ДАЧНОЕ"
"0111790701","С","ДАЧНЕ","ДАЧНОЕ"
"0111790702","С","ЛІСНЕ","ЛЕСНОЕ"
"0111791400",,"МІЖРІЧЕНСЬКА/С.МІЖРІЧЧЯ","МЕЖДУРЕЧЕНСКИЙ/С.МЕЖДУРЕЧЬЕ"
"0111791401","С","МІЖРІЧЧЯ","МЕЖДУРЕЧЬЕ"
"0111791402","С","ВОРОН","ВОРОН"
"0111791600",,"МОРСЬКА/С.МОРСЬКЕ","МОРСКОЙ/С.МОРСКОЕ"
"0111791601","С","МОРСЬКЕ","МОРСКОЕ"
"0111791602","С","ГРОМІВКА","ГРОМОВКА"
"0111792300",,"СОНЯЧНОДОЛИНСЬКА/С.СОНЯЧНА ДОЛИНА","СОЛНЕЧНОДОЛИНСКИЙ/С.СОЛНЕЧНАЯ ДОЛИНА"
"0111792301","С","СОНЯЧНА ДОЛИНА","СОЛНЕЧНАЯ ДОЛИНА"
"0111792302","С","БАГАТІВКА","БОГАТОВКА"
"0111792303","С","МИНДАЛЬНЕ","МИНДАЛЬНОЕ"
"0111792304","С","ПРИБЕРЕЖНЕ","ПРИБРЕЖНОЕ"
"0111900000","М","ЯЛТА","ЯЛТА"
"0111945000",,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ЯЛТИНСЬКІЙ МІСЬКРАДІ","ПОСЕЛКИ ГОРОДСКОГО ТИПА, ПОДЧИНЕННЫЕ ЯЛТИНСКОМУ ГОРСОВЕТУ"
"0111945200","Т","БЕРЕГОВЕ","БЕРЕГОВОЕ"
"0111945400","Т","НІКІТА","НИКИТА"
"0111945600","Т","ВИНОГРАДНЕ","ВИНОГРАДНОЕ"
"0111945900","Т","ВОСХОД","ВОСХОД"
"0111946200","Т","ГАСПРА","ГАСПРА"
"0111946500","Т","ГОЛУБА ЗАТОКА","ГОЛУБОЙ ЗАЛИВ"
"0111946800","Т","ГУРЗУФ","ГУРЗУФ"
"0111946801","Щ","ДАНИЛІВКА","ДАНИЛОВКА"
"0111946803","Щ","ЛІНІЙНЕ","ЛИНЕЙНОЕ"
"0111946805","Щ","ПАРТИЗАНСЬКЕ","ПАРТИЗАНСКОЕ"
"0111947000","Т","КАЦІВЕЛІ","КАЦИВЕЛИ"
"0111947100","Т","КОРЕЇЗ","КОРЕИЗ"
"0111947400","Т","КРАСНОКАМ'ЯНКА","КРАСНОКАМЕНКА"
"0111947700","Т","КУРПАТИ","КУРПАТЫ"
"0111947900","Т","ЛІВАДІЯ","ЛИВАДИЯ"
"0111947901","Щ","ВИСОКОГІРНЕ","ВЫСОКОГОРНОЕ"
"0111947903","Щ","ГІРНЕ","ГОРНОЕ"
"0111947905","Щ","КУЙБИШЕВЕ","КУЙБЫШЕВО"
"0111947907","Щ","ОХОТНИЧЕ","ОХОТНИЧЬЕ"
"0111948100","Т","МАСАНДРА","МАССАНДРА"
"0111948300","Т","ОРЕАНДА","ОРЕАНДА"
"0111948500","Т","ВІДРАДНЕ","ОТРАДНОЕ"
"0111948700","Т","ПАРКОВЕ","ПАРКОВОЕ"
"0111948900","Т","ПОНИЗІВКА","ПОНИЗОВКА"
"0111949100","Т","САНАТОРНЕ","САНАТОРНОЕ"
"0111949300","Т","СІМЕЇЗ","СИМЕИЗ"
"0111949301","С","ОПОЛЗНЕВЕ","ОПОЛЗНЕВОЕ"
"0111949500","Т","СОВЄТСЬКЕ","СОВЕТСКОЕ"
"0111949700","Т","ФОРОС","ФОРОС"
"0111949701","Щ","ОЛИВА","ОЛИВА"
"0111970000",,"МІСТА, ПІДПОРЯДКОВАНІ ЯЛТИНСЬКІЙ МІСЬКРАДІ","ГОРОДА, ПОДЧИНЕННЫЕ ЯЛТИНСКОМУ ГОРСОВЕТУ"
"0111970200","М","АЛУПКА","АЛУПКА"
"0120000000",,"РАЙОНИ АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ","РАЙОНЫ АВТОНОМНОЙ РЕСПУБЛИКИ КРЫМ"
"0120400000",,"БАХЧИСАРАЙСЬКИЙ РАЙОН/М.БАХЧИСАРАЙ","БАХЧИСАРАЙСКИЙ РАЙОН/Г.БАХЧИСАРАЙ"
"0120410000",,"МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ БАХЧИСАРАЙСЬКОГО Р-НУ","ГОРОДА РАЙОННОГО ПОДЧИНЕНИЯ БАХЧИСАРАЙСКОГО Р-НА"
"0120410100","М","БАХЧИСАРАЙ","БАХЧИСАРАЙ"
"0120445000",,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ БАХЧИСАРАЙСЬКІЙ МІСЬКРАДІ","ПОСЕЛКИ ГОРОДСКОГО ТИПА, ПОДЧИНЕННЫЕ БАХЧИСАРАЙСКОМУ ГОРСОВЕТУ"
"0120445100","Т","НАУЧНИЙ","НАУЧНЫЙ"
"0120455000",,"СЕЛИЩА МІСЬКОГО ТИПУ БАХЧИСАРАЙСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА БАХЧИСАРАЙСКОГО Р-НА"
"0120455300","Т","КУЙБИШЕВЕ","КУЙБЫШЕВО"
"0120455301","С","ВЕЛИКЕ САДОВЕ","БОЛЬШОЕ САДОВОЕ"
"0120455302","С","ВИСОКЕ","ВЫСОКОЕ"
"0120455303","С","МАЛЕ САДОВЕ","МАЛОЕ САДОВОЕ"
"0120455304","С","НОВОУЛЬЯНІВКА","НОВОУЛЬЯНОВКА"
"0120455305","С","ТАНКОВЕ","ТАНКОВОЕ"
"0120455600","Т","ПОШТОВЕ","ПОЧТОВОЕ"
"0120455601","С","ЗАВІТНЕ","ЗАВЕТНОЕ"
"0120455602","С","ЗУБАКІНЕ","ЗУБАКИНО"
"0120455603","С","КАЗАНКИ","КАЗАНКИ"
"0120455604","С","МАЛИНІВКА","МАЛИНОВКА"
"0120455605","С","НОВОВАСИЛІВКА","НОВОВАСИЛЬЕВКА"
"0120455606","С","НОВОПАВЛІВКА","НОВОПАВЛОВКА"
"0120455607","С","ПРИЯТНЕ СВІДАННЯ","ПРИЯТНОЕ СВИДАНИЕ"
"0120455608","С","РОСТУЧЕ","РАСТУЩЕЕ"
"0120455609","С","САМОХВАЛОВЕ","САМОХВАЛОВО"
"0120455610","С","СЕВАСТЯНІВКА","СЕВАСТЬЯНОВКА"
"0120455611","Щ","СТАЛЬНЕ","СТАЛЬНОЕ"
"0120455612","С","ТОПОЛІ","ТОПОЛИ"
"0120480000",,"СІЛЬРАДИ БАХЧИСАРАЙСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ БАХЧИСАРАЙСКОГО Р-НА"
"0120480400",,"АРОМАТНЕВСЬКА/С.АРОМАТНЕ","АРОМАТНЕНСКИЙ/С.АРОМАТНОЕ"
"0120480401","С","АРОМАТНЕ","АРОМАТНОЕ"
"0120480402","С","ВІКТОРІВКА","ВИКТОРОВКА"
"0120480403","С","МАЛОВИДНЕ","МАЛОВИДНОЕ"
"0120480404","С","РЄПІНЕ","РЕПИНО"
"0120480405","С","РОЗОВЕ","РОЗОВОЕ"
"0120480800",,"ВЕРХОРІЧЕНСЬКА/С.ВЕРХОРІЧЧЯ","ВЕРХОРЕЧЕНСКИЙ/С.ВЕРХОРЕЧЬЕ"
"0120480801","С","ВЕРХОРІЧЧЯ","ВЕРХОРЕЧЬЕ"
"0120480802","С","БАШТАНІВКА","БАШТАНОВКА"
"0120480803","С","КУДРИНЕ","КУДРИНО"
"0120480804","С","МАШИНЕ","МАШИНО"
"0120480806","С","ПЕРЕДУЩЕЛЬНЕ","ПРЕДУЩЕЛЬНОЕ"
"0120480807","С","СИНАПНЕ","СИНАПНОЕ"
"0120481300",,"ВІЛІНСЬКА/С.ВІЛІНЕ","ВИЛИНСКИЙ/С.ВИЛИНО"
"0120481301","С","ВІЛІНЕ","ВИЛИНО"
"0120481302","С","РОЗСАДНЕ","РАССАДНОЕ"
"0120481900",,"ГОЛУБИНСЬКА/С.ГОЛУБИНКА","ГОЛУБИНСКИЙ/С.ГОЛУБИНКА"
"0120481901","С","ГОЛУБИНКА","ГОЛУБИНКА"
"0120481902","С","АРОМАТ","АРОМАТ"
"0120481903","С","БАГАТА УЩЕЛИНА","БОГАТОЕ УЩЕЛЬЕ"
"0120481904","С","НИЖНЯ ГОЛУБИНКА","НИЖНЯЯ ГОЛУБИНКА"
"0120481905","С","НОВОПІЛЛЯ","НОВОПОЛЬЕ"
"0120481906","С","ПОЛЯНА","ПОЛЯНА"
"0120481907","С","ПУТИЛІВКА","ПУТИЛОВКА"
"0120481908","С","СОКОЛИНЕ","СОКОЛИНОЕ"
"0120481909","С","СОНЯЧНОСІЛЛЯ","СОЛНЕЧНОСЕЛЬЕ"
"0120482200",,"ДОЛИННЕНСЬКА/С.ДОЛИННЕ","ДОЛИННЕНСКИЙ/С.ДОЛИННОЕ"
"0120482201","С","ДОЛИННЕ","ДОЛИННОЕ"
"0120482202","С","НОВЕНЬКЕ","НОВЕНЬКОЕ"
"0120482203","С","ФУРМАНОВКА","ФУРМАНОВКА"
"0120482500",,"ЗАЛІЗНИЧНЕНСЬКА/С.ЗАЛІЗНИЧНЕ","ЖЕЛЕЗНОДОРОЖНЕНСКИЙ/С.ЖЕЛЕЗНОДОРОЖНОЕ"
"0120482501","С","ЗАЛІЗНИЧНЕ","ЖЕЛЕЗНОДОРОЖНОЕ"
"0120482502","С","БІЛОКАМ'ЯНЕ","БЕЛОКАМЕННОЕ"
"0120482503","С","ДАЧНЕ","ДАЧНОЕ"
"0120482504","С","МОСТОВЕ","МОСТОВОЕ"
"0120482505","С","РІЧНЕ","РЕЧНОЕ"
"0120482506","Щ","СИРЕНЬ","СИРЕНЬ"
"0120482507","С","ТУРГЕНЄВКА","ТУРГЕНЕВКА"
"0120482900",,"ЗЕЛЕНІВСЬКА/С.ЗЕЛЕНЕ","ЗЕЛЕНОВСКИЙ/С.ЗЕЛЕНОЕ"
"0120482901","С","ЗЕЛЕНЕ","ЗЕЛЕНОЕ"
"0120482902","С","БОГАТИР","БОГАТЫРЬ"
"0120482903","С","МНОГОРІЧЧЯ","МНОГОРЕЧЬЕ"
"0120482904","С","НАГІРНЕ","НАГОРНОЕ"
"0120482905","С","ПЛОТИННЕ","ПЛОТИННОЕ"
"0120482906","С","ЩАСЛИВЕ","СЧАСТЛИВОЕ"
"0120483600",,"КАШТАНІВСЬКА/С.КАШТАНИ","КАШТАНОВСКИЙ/С.КАШТАНЫ"
"0120483601","С","КАШТАНИ","КАШТАНЫ"
"0120483602","С","ВІДРАДНЕ","ОТРАДНОЕ"
"0120483603","С","КОЧЕРГІНЕ","КОЧЕРГИНО"
"0120483604","С","ШЕВЧЕНКОВЕ","ШЕВЧЕНКОВО"
"0120483900",,"КРАСНОМАЦЬКА/С.КРАСНИЙ МАК","КРАСНОМАКСКИЙ/С.КРАСНЫЙ МАК"
"0120483901","С","КРАСНИЙ МАК","КРАСНЫЙ МАК"
"0120483902","С","ЗАЛІСНЕ","ЗАЛЕСНОЕ"
"0120483903","С","ХОЛМІВКА","ХОЛМОВКА"
"0120483905","С","ХОДЖА САЛА","ХОДЖА САЛА"
"0120484400",,"ПІЩАНІВСЬКА/С.ПІЩАНЕ","ПЕСЧАНОВСКИЙ/С.ПЕСЧАНОЕ"
"0120484401","С","ПІЩАНЕ","ПЕСЧАНОЕ"
"0120484402","С","БЕРЕГОВЕ","БЕРЕГОВОЕ"
"0120484600",,"ПЛОДІВСЬКА/С.ПЛОДОВЕ","ПЛОДОВСКИЙ/С.ПЛОДОВОЕ"
"0120484601","С","ПЛОДОВЕ","ПЛОДОВОЕ"
"0120484602","С","БРЯНСЬКЕ","БРЯНСКОЕ"
"0120484603","С","ГІРКА","ГОРКА"
"0120484604","С","ДІБРІВКА","ДУБРОВКА"
"0120484605","С","ДОРОЖНЄ","ДОРОЖНОЕ"
"0120485000",,"СКАЛИСТІВСЬКА/С.СКАЛИСТЕ","СКАЛИСТОВСКИЙ/С.СКАЛИСТОЕ"
"0120485001","С","СКАЛИСТЕ","СКАЛИСТОЕ"
"0120485002","С","ГЛИБОКИЙ ЯР","ГЛУБОКИЙ ЯР"
"0120485003","С","ПРОХЛАДНЕ","ПРОХЛАДНОЕ"
"0120485004","С","ТРУДОЛЮБІВКА","ТРУДОЛЮБОВКА"
"0120485500",,"ТАБАЧНЕНСЬКА/С.ТАБАЧНЕ","ТАБАЧНЕНСКИЙ/С.ТАБАЧНОЕ"
"0120485501","С","ТАБАЧНЕ","ТАБАЧНОЕ"
"0120486200",,"ТІНИСТІВСЬКА/С.ТІНИСТЕ","ТЕНИСТОВСКИЙ/С.ТЕНИСТОЕ"
"0120486201","С","ТІНИСТЕ","ТЕНИСТОЕ"
"0120486202","С","АЙВОВЕ","АЙВОВОЕ"
"0120486203","С","КРАСНА ЗОРЯ","КРАСНАЯ ЗАРЯ"
"0120486204","С","НЕКРАСОВКА","НЕКРАСОВКА"
"0120486205","С","СУВОРОВЕ","СУВОРОВО"
"0120488400",,"УГЛІВСЬКА/С.УГЛОВЕ","УГЛОВСКИЙ/С.УГЛОВОЕ"
"0120488401","С","УГЛОВЕ","УГЛОВОЕ"
"0120700000",,"БІЛОГІРСЬКИЙ РАЙОН/М.БІЛОГІРСЬК","БЕЛОГОРСКИЙ РАЙОН/Г.БЕЛОГОРСК"
"0120710000",,"МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ БІЛОГІРСЬКОГО Р-НУ","ГОРОДА РАЙОННОГО ПОДЧИНЕНИЯ БЕЛОГОРСКОГО Р-НА"
"0120710100","М","БІЛОГІРСЬК","БЕЛОГОРСК"
"0120755000",,"СЕЛИЩА МІСЬКОГО ТИПУ БІЛОГІРСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА БЕЛОГОРСКОГО Р-НА"
"0120755300","Т","ЗУЯ","ЗУЯ"
"0120755301","С","БАЛАНОВЕ","БАЛАНОВО"
"0120755302","С","БАРАБАНОВЕ","БАРАБАНОВО"
"0120755303","С","ВЕРХНІ ОРІШНИКИ","ВЕРХНИЕ ОРЕШНИКИ"
"0120755305","С","ВОЛОДИМИРІВКА","ВЛАДИМИРОВКА"
"0120755307","С","ЛИТВИНЕНКОВЕ","ЛИТВИНЕНКОВО"
"0120755308","С","НИЖНІ ОРІШНИКИ","НИЖНИЕ ОРЕШНИКИ"
"0120755309","С","ПЕТРОВЕ","ПЕТРОВО"
"0120755310","С","УКРАЇНКА","УКРАИНКА"
"0120780000",,"СІЛЬРАДИ БІЛОГІРСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ БЕЛОГОРСКОГО Р-НА"
"0120780400",,"АРОМАТНІВСЬКА/С.АРОМАТНЕ","АРОМАТНОВСКИЙ/С.АРОМАТНОЕ"
"0120780401","С","АРОМАТНЕ","АРОМАТНОЕ"
"0120780402","С","КРАСНОГІРСЬКЕ","КРАСНОГОРСКОЕ"
"0120780403","С","КУРОРТНЕ","КУРОРТНОЕ"
"0120780800",,"БАГАТІВСЬКА/С.БАГАТЕ","БОГАТОВСКИЙ/С.БОГАТОЕ"
"0120780801","С","БАГАТЕ","БОГАТОЕ"
"0120780802","С","ГОРЛИНКА","ГОРЛИНКА"
"0120780803","С","КРАСНА СЛОБОДА","КРАСНАЯ СЛОБОДА"
"0120780804","С","МЕЛЕХОВЕ","МЕЛЕХОВО"
"0120780805","С","ПОВОРОТНЕ","ПОВОРОТНОЕ"
"0120780806","С","РУСЬКЕ","РУССКОЕ"
"0120780807","С","ЧЕРЕМИСІВКА","ЧЕРЕМИСОВКА"
"0120781300",,"ВАСИЛІВСЬКА/С.ВАСИЛІВКА","ВАСИЛЬЕВСКИЙ/С.ВАСИЛЬЕВКА"
"0120781301","С","ВАСИЛІВКА","ВАСИЛЬЕВКА"
"0120781303","С","МАЛИНІВКА","МАЛИНОВКА"
"0120781304","С","НЕКРАСОВЕ","НЕКРАСОВОЕ"
"0120781305","С","ПАВЛІВКА","ПАВЛОВКА"
"0120781306","С","ПРОЛОМ","ПРОЛОМ"
"0120781307","С","СЄВЕРНЕ","СЕВЕРНОЕ"
"0120781900",,"ВИШЕНСЬКА/С.ВИШЕННЕ","ВИШЕННСКИЙ/С.ВИШЕННОЕ"
"0120781901","С","ВИШЕННЕ","ВИШЕННОЕ"
"0120781902","С","БІЛА СКЕЛЯ","БЕЛАЯ СКАЛА"
"0120781903","С","МИРОНІВКА","МИРОНОВКА"
"0120782500",,"ЗЕЛЕНОГІРСЬКА/С.ЗЕЛЕНОГІРСЬКЕ","ЗЕЛЕНОГОРСКИЙ/С.ЗЕЛЕНОГОРСКОЕ"
"0120782501","С","ЗЕЛЕНОГІРСЬКЕ","ЗЕЛЕНОГОРСКОЕ"
"0120782502","С","БАЛКИ","БАЛКИ"
"0120782503","С","МІЖГІР'Я","МЕЖГОРЬЕ"
"0120782505","С","НОВОГРИГОРІВКА","НОВОГРИГОРЬЕВКА"
"0120782506","С","НОВОКЛЕНОВЕ","НОВОКЛЕНОВО"
"0120782507","С","ОВРАЖКИ","ОВРАЖКИ"
"0120782508","С","ОЛЕКСАНДРІВКА","АЛЕКСАНДРОВКА"
"0120782509","С","ПАСІЧНЕ","ПАСЕЧНОЕ"
"0120782510","С","ПЧОЛИНЕ","ПЧЕЛИНОЕ"
"0120782511","С","ЯКОВЛІВКА","ЯКОВЛЕВКА"
